metric_name,base_status_auc,plus_status_auc,base_status_pr_auc,plus_status_pr_auc,base_status_brier_score,plus_status_brier_score,base_status_auarc,plus_status_auarc
MSP,0.745,0.723,0.758,0.783,0.257,0.232,0.438,0.478
UPerp,0.681,0.666,0.745,0.771,0.26,0.234,0.462,0.502
CCP,0.487,0.539,0.594,0.68,0.244,0.237,0.369,0.407
Entropy,0.639,0.628,0.715,0.747,0.242,0.239,0.358,0.388
TokenSAR,0.684,0.667,0.751,0.776,0.246,0.245,0.32,0.349
UPMI,0.744,0.727,0.793,0.823,0.25,0.257,0.309,0.334
UCPMI,0.681,0.667,0.747,0.773,0.246,0.245,0.32,0.349
URD,0.326,0.341,0.509,0.578,0.402,0.348,0.595,0.649
UFR,0.573,0.575,0.67,0.716,0.258,0.233,0.438,0.478
UHS,0.439,0.434,0.551,0.605,0.245,0.239,0.343,0.375
USE,0.508,0.545,0.595,0.674,0.276,0.275,0.347,0.388
USENTSAR,0.506,0.527,0.609,0.677,0.448,0.487,0.108,0.119
SEMANTIC_SET,0.5,0.5,0.598,0.652,0.25,0.25,0.299,0.326
EIGEN_UNCERTAINTY,0.35,0.331,0.538,0.58,0.259,0.233,0.438,0.478
LEXICAL_SIM,0.501,0.497,0.633,0.678,0.241,0.228,0.399,0.434
BB_Label_Prob,0.484,0.439,0.594,0.625,0.245,0.24,0.408,0.438
BB_SEMANIC_Entropy,0.439,0.434,0.551,0.606,0.245,0.239,0.342,0.375
