metric_name,base_status_auc,plus_status_auc,base_status_pr_auc,plus_status_pr_auc,base_status_brier_score,plus_status_brier_score,base_status_auarc,plus_status_auarc
MSP,0.731,0.73,0.696,0.749,0.32,0.285,0.339,0.395
UPerp,0.564,0.574,0.526,0.596,0.331,0.293,0.36,0.418
CCP,0.626,0.582,0.607,0.647,0.25,0.245,0.297,0.343
Entropy,0.568,0.575,0.525,0.595,0.257,0.247,0.291,0.337
TokenSAR,0.572,0.587,0.529,0.604,0.251,0.248,0.257,0.298
UPMI,0.669,0.668,0.66,0.712,0.241,0.256,0.244,0.279
UCPMI,0.562,0.571,0.525,0.595,0.252,0.248,0.258,0.299
URD,0.431,0.421,0.429,0.502,0.537,0.46,0.461,0.537
UFR,0.493,0.491,0.507,0.573,0.32,0.284,0.339,0.395
UHS,0.532,0.534,0.492,0.563,0.261,0.249,0.284,0.33
USE,0.617,0.638,0.591,0.666,0.239,0.242,0.319,0.367
USENTSAR,0.581,0.597,0.554,0.634,0.344,0.397,0.096,0.11
SEMANTIC_SET,0.5,0.5,0.463,0.54,0.25,0.25,0.231,0.27
EIGEN_UNCERTAINTY,0.419,0.445,0.406,0.521,0.322,0.286,0.339,0.4
LEXICAL_SIM,0.39,0.382,0.393,0.46,0.269,0.254,0.286,0.332
BB_Label_Prob,0.395,0.383,0.408,0.479,0.269,0.259,0.296,0.379
BB_SEMANIC_Entropy,0.533,0.535,0.491,0.562,0.261,0.249,0.284,0.33
