metric_name,best_threshold,best_misprediction_percentage_base,best_mispredictions_count_base,CVR,MVR VAL,MVR,best_total_samples_count_base,best_misprediction_percentage_plus,best_mispredictions_count_plus,CVR,MVR VAL,MVR,best_total_samples_count_plus
MSP,0.999,35.211,25,0.658,46,0.365,71,40.845,29,0.604,42,0.362,71
UPerp,1.09,35.294,12,0.316,22,0.175,34,38.824,33,0.688,52,0.448,85
CCP,0.155,27.027,10,0.263,27,0.214,37,35.526,27,0.563,49,0.422,76
Entropy,0.205,35.294,12,0.316,22,0.175,34,41.176,14,0.292,20,0.172,34
TokenSAR,0.088,38.235,13,0.342,21,0.167,34,41.176,14,0.292,20,0.172,34
UPMI,-0.04,45.455,15,0.395,18,0.143,33,51.515,17,0.354,16,0.138,33
UCPMI,0.084,35.135,13,0.342,24,0.190,37,39.286,33,0.688,51,0.440,84
URD,10.244,35.294,12,0.316,22,0.175,34,38.235,13,0.271,21,0.181,34
UFR,0.995,35.294,12,0.316,22,0.175,34,38.298,18,0.375,29,0.250,47
UHS,0.243,38.235,13,0.342,21,0.167,34,44.118,15,0.313,19,0.164,34
USE,0.2,40.909,18,0.474,26,0.206,44,51.429,18,0.375,17,0.147,35
USENTSAR,-1.717,39.394,13,0.342,20,0.159,33,51.515,17,0.354,16,0.138,33
SEMANTIC_SET,0,23.171,38,1.000,126,1.000,164,29.268,48,1.000,116,1.000,164
EIGEN_UNCERTAINTY,1.007,26.549,30,0.789,83,0.659,113,33.628,38,0.792,75,0.647,113
LEXICAL_SIM,0.463,41.667,15,0.395,21,0.167,36,51.163,22,0.458,21,0.181,43
BB_Label_Prob,0.109,38.776,19,0.500,30,0.238,49,48.98,24,0.500,25,0.216,49
BB_SEMANIC_Entropy,0.243,38.235,13,0.342,21,0.167,34,44.118,15,0.313,19,0.164,34
,,,,,,,,,,,,,
,,,,,,,,,48,,,,
,,,38,,,,,,116,,,,
,,,126,,,,,,,,,,
