metric_name,base_status_auc,plus_status_auc,base_status_pr_auc,plus_status_pr_auc,base_status_brier_score,plus_status_brier_score,base_status_auarc,plus_status_auarc
MSP,0.69,0.652,0.373,0.427,0.426,0.398,0.17,0.214
UPerp,0.641,0.621,0.338,0.374,0.44,0.41,0.181,0.226
CCP,0.493,0.541,0.238,0.332,0.275,0.269,0.137,0.176
Entropy,0.622,0.615,0.332,0.381,0.27,0.266,0.141,0.175
TokenSAR,0.642,0.623,0.34,0.382,0.258,0.256,0.13,0.162
UPMI,0.637,0.608,0.378,0.423,0.238,0.241,0.12,0.15
UCPMI,0.641,0.621,0.338,0.374,0.258,0.256,0.13,0.162
URD,0.37,0.383,0.182,0.233,0.768,0.707,0.231,0.291
UFR,0.382,0.39,0.184,0.235,0.426,0.398,0.17,0.214
UHS,0.592,0.612,0.344,0.401,0.279,0.273,0.141,0.175
USE,0.659,0.656,0.355,0.424,0.208,0.215,0.162,0.199
USENTSAR,0.65,0.668,0.456,0.511,0.184,0.227,0.055,0.066
SEMANTIC_SET,0.5,0.5,0.232,0.293,0.25,0.25,0.116,0.146
EIGEN_UNCERTAINTY,0.516,0.505,0.235,0.289,0.429,0.401,0.17,0.214
LEXICAL_SIM,0.318,0.324,0.183,0.228,0.336,0.321,0.15,0.188
BB_Label_Prob,0.353,0.354,0.196,0.253,0.308,0.299,0.145,0.187
BB_SEMANIC_Entropy,0.591,0.611,0.343,0.4,0.279,0.273,0.141,0.176
