metric_name,base_status_auc,plus_status_auc,base_status_pr_auc,plus_status_pr_auc,base_status_brier_score,plus_status_brier_score,base_status_auarc,plus_status_auarc
MSP,0.642,0.635,0.396,0.468,0.412,0.376,0.19,0.248
UPerp,0.577,0.561,0.35,0.414,0.428,0.389,0.206,0.266
CCP,0.555,0.578,0.309,0.407,0.264,0.259,0.158,0.205
Entropy,0.578,0.567,0.363,0.422,0.271,0.264,0.175,0.219
TokenSAR,0.575,0.563,0.358,0.425,0.258,0.255,0.15,0.193
UPMI,0.609,0.608,0.406,0.473,0.236,0.24,0.158,0.199
UCPMI,0.577,0.561,0.35,0.414,0.258,0.256,0.152,0.192
URD,0.42,0.433,0.226,0.309,0.741,0.661,0.258,0.337
UFR,0.449,0.457,0.243,0.328,0.414,0.377,0.19,0.248
UHS,0.588,0.569,0.33,0.405,0.287,0.276,0.161,0.208
USE,0.659,0.64,0.427,0.502,0.194,0.214,0.211,0.26
USENTSAR,0.627,0.606,0.412,0.473,0.203,0.259,0.058,0.071
SEMANTIC_SET,0.5,0.5,0.259,0.339,0.25,0.25,0.13,0.169
EIGEN_UNCERTAINTY,0.505,0.466,0.277,0.322,0.418,0.381,0.197,0.255
LEXICAL_SIM,0.364,0.394,0.208,0.297,0.318,0.3,0.162,0.215
BB_Label_Prob,0.376,0.39,0.215,0.291,0.319,0.303,0.172,0.229
BB_SEMANIC_Entropy,0.587,0.57,0.33,0.406,0.287,0.276,0.161,0.209
