metric_name,base_status_auc,plus_status_auc,base_status_pr_auc,plus_status_pr_auc,base_status_brier_score,plus_status_brier_score,base_status_best_threshold,base_status_best_j_statistic,base_status_pass_count_above_threshold,base_status_fail_count_above_threshold,plus_status_best_threshold,plus_status_best_j_statistic,plus_status_pass_count_above_threshold,plus_status_fail_count_above_threshold
MSP,0.731,0.73,0.696,0.749,0.32,0.285,0.73,0.052,189,172,0.73,0.055,161,200
UPerp,0.564,0.574,0.526,0.596,0.331,0.293,0.76,0.093,24,37,0.75,0.092,88,122
CCP,0.626,0.582,0.607,0.647,0.25,0.245,0.54,0.22,40,73,0.54,0.149,38,75
Entropy,0.568,0.575,0.525,0.595,0.257,0.247,0.58,0.118,34,50,0.56,0.161,76,122
TokenSAR,0.572,0.587,0.529,0.604,0.251,0.248,0.53,0.142,42,61,0.53,0.143,34,69
UPMI,0.669,0.668,0.66,0.712,0.241,0.256,0.44,0.236,24,62,0.42,0.244,48,106
UCPMI,0.562,0.571,0.525,0.595,0.252,0.248,0.53,0.145,46,65,0.53,0.129,39,72
URD,0.431,0.421,0.429,0.502,0.537,0.46,0.0,0.0,203,175,0.0,0.0,174,204
UFR,0.493,0.491,0.507,0.573,0.32,0.284,0.73,0.029,1,6,0.73,0.034,0,7
UHS,0.532,0.534,0.492,0.563,0.261,0.249,0.58,0.091,65,72,0.58,0.075,56,81
USE,0.617,0.638,0.591,0.666,0.239,0.242,0.52,0.189,51,77,0.49,0.208,61,114
USENTSAR,0.581,0.597,0.554,0.634,0.344,0.397,0.15,0.139,97,108,0.16,0.151,30,66
SEMANTIC_SET,0.5,0.5,0.463,0.54,0.25,0.25,0.0,0.0,203,175,0.0,0.0,174,204
EIGEN_UNCERTAINTY,0.419,0.445,0.406,0.521,0.322,0.286,0.0,0.0,203,175,0.74,0.005,0,1
LEXICAL_SIM,0.39,0.382,0.393,0.46,0.269,0.254,0.0,0.0,203,175,0.0,0.0,174,204
BB_Label_Prob,0.395,0.383,0.408,0.479,0.269,0.259,0.0,0.0,203,175,0.72,0.005,0,1
BB_SEMANIC_Entropy,0.533,0.535,0.491,0.562,0.261,0.249,0.58,0.09,64,71,0.58,0.076,55,80
